id_cliente,perfil_renda_origem,renda_media,renda_desvio,coef_variacao_renda,meses_com_renda,renda_confiavel,despesa_media_mensal,despesa_fixa_total,despesa_fixa_mensal_media,saldo_medio_mensal,comprometimento_fixo,idade,genero,perfil_financeiro
1,alto,3651.45,1507.65,0.4129,12,True,2546.19,8046.12,670.51,1105.26,0.1836,54,F,Em observação
2,moderado,3130.82,833.48,0.2662,12,True,3712.06,14579.16,1214.93,-581.24,0.3881,33,F,Em risco
3,alto,5438.19,2456.6,0.4517,12,True,4427.53,14068.44,1172.37,1010.66,0.2156,46,F,Em observação
4,moderado,3417.39,703.5,0.2059,12,True,3434.65,7643.28,636.94,-17.26,0.1864,41,F,Em risco
5,estavel,3310.13,247.24,0.0747,12,True,2682.55,14579.4,1214.95,627.58,0.367,34,M,Saudável
6,alto,3983.3,1836.92,0.4612,12,True,3244.26,17721.0,1476.75,739.04,0.3707,59,F,Em observação
7,alto,8153.65,3920.61,0.4808,12,True,5828.84,47221.92,3935.16,2324.81,0.4826,37,F,Em observação
8,alto,2078.9,831.59,0.4,12,True,1749.27,6711.96,559.33,329.63,0.2691,48,F,Em observação
9,estavel,5373.27,150.03,0.0279,12,True,4713.65,26269.08,2189.09,659.62,0.4074,49,F,Em observação
10,moderado,1621.05,446.17,0.2752,12,True,1100.42,6165.48,513.79,520.63,0.3169,32,M,Saudável
11,moderado,4190.31,835.48,0.1994,12,True,3341.74,15315.48,1276.29,848.57,0.3046,23,M,Saudável
12,alto,7719.8,2927.02,0.3792,12,True,5482.46,34977.0,2914.75,2237.34,0.3776,55,M,Saudável
13,moderado,4734.62,1146.68,0.2422,12,True,5842.23,37597.2,3133.1,-1107.61,0.6617,30,M,Em risco
14,alto,4103.26,1941.53,0.4732,12,True,3298.4,18567.84,1547.32,804.86,0.3771,26,M,Em observação
15,moderado,2952.93,423.64,0.1435,12,True,3242.74,14851.2,1237.6,-289.81,0.4191,59,M,Em risco
16,estavel,3853.46,352.49,0.0915,12,True,3024.15,13295.52,1107.96,829.31,0.2875,25,M,Saudável
17,moderado,3392.52,871.13,0.2568,12,True,2940.2,7579.92,631.66,452.32,0.1862,48,M,Saudável
18,estavel,2667.95,263.38,0.0987,12,True,1553.16,5574.84,464.57,1114.79,0.1741,48,F,Saudável
19,alto,3335.28,1606.27,0.4816,12,True,2466.53,9669.72,805.81,868.75,0.2416,48,F,Em observação
20,moderado,4154.83,622.34,0.1498,12,True,3564.41,10753.32,896.11,590.42,0.2157,50,F,Saudável
21,alto,2690.57,1255.29,0.4666,12,True,2974.37,17346.12,1445.51,-283.8,0.5373,28,F,Em risco
22,moderado,2643.69,541.61,0.2049,12,True,2273.46,16355.16,1362.93,370.23,0.5155,25,M,Em observação
23,alto,2060.38,877.43,0.4259,12,True,2202.69,7501.2,625.1,-142.31,0.3034,52,F,Em risco
24,alto,4530.48,2235.92,0.4935,12,True,4237.5,23518.92,1959.91,292.98,0.4326,54,F,Em observação
25,alto,4856.88,2544.83,0.524,12,True,5405.38,17181.6,1431.8,-548.5,0.2948,36,M,Em risco
26,estavel,4217.52,715.79,0.1697,12,True,3413.54,15330.72,1277.56,803.98,0.3029,40,M,Saudável
27,moderado,5866.91,1676.41,0.2857,12,True,7335.05,27854.16,2321.18,-1468.14,0.3956,52,F,Em risco
28,estavel,3953.26,294.57,0.0745,12,True,2896.27,17735.04,1477.92,1056.99,0.3738,59,M,Saudável
29,estavel,4533.1,442.59,0.0976,12,True,3091.74,11804.88,983.74,1441.36,0.217,44,F,Saudável
30,moderado,4356.76,1125.53,0.2583,12,True,2623.6,18000.48,1500.04,1733.16,0.3443,58,F,Saudável
31,moderado,3646.65,824.36,0.2261,12,True,4520.33,20783.16,1731.93,-873.68,0.4749,55,M,Em risco
32,alto,2992.57,1366.22,0.4565,12,True,2895.31,11206.92,933.91,97.26,0.3121,46,M,Em observação
33,estavel,10292.03,1247.27,0.1212,12,True,7820.48,21772.56,1814.38,2471.55,0.1763,50,F,Saudável
34,moderado,3100.69,672.96,0.217,12,True,3239.68,17804.52,1483.71,-138.99,0.4785,18,F,Em risco
35,moderado,2816.11,516.86,0.1835,12,True,2657.8,17678.04,1473.17,158.31,0.5231,53,F,Em observação
36,estavel,4619.59,273.83,0.0593,12,True,5422.95,29999.64,2499.97,-803.36,0.5412,35,M,Em risco
37,estavel,4256.02,475.38,0.1117,12,True,2304.17,20898.6,1741.55,1951.85,0.4092,40,M,Em observação
38,moderado,2019.49,444.59,0.2201,12,True,1559.52,11873.64,989.47,459.97,0.49,50,M,Em observação
39,estavel,6297.84,610.96,0.097,12,True,4639.91,20816.76,1734.73,1657.93,0.2754,19,F,Saudável
40,moderado,3642.29,923.33,0.2535,12,True,1692.71,7562.28,630.19,1949.58,0.173,48,M,Saudável
41,moderado,2305.0,463.9,0.2013,12,True,2330.03,13713.24,1142.77,-25.03,0.4958,45,F,Em risco
42,alto,6488.0,3164.93,0.4878,12,True,5004.38,17673.24,1472.77,1483.62,0.227,44,M,Em observação
43,moderado,5035.71,1203.24,0.2389,12,True,4799.7,34266.6,2855.55,236.01,0.5671,55,F,Em observação
44,estavel,2151.05,43.02,0.02,12,True,2677.54,15237.6,1269.8,-526.49,0.5903,35,M,Em risco
45,alto,8454.79,4414.37,0.5221,12,True,6395.34,35184.72,2932.06,2059.45,0.3468,52,M,Em observação
46,alto,5111.33,2172.12,0.425,12,True,3803.81,23874.72,1989.56,1307.52,0.3892,35,M,Em observação
47,moderado,3782.6,519.14,0.1372,12,True,3182.53,25909.32,2159.11,600.07,0.5708,24,M,Em observação
48,estavel,7772.56,215.67,0.0277,12,True,7754.72,41470.08,3455.84,17.84,0.4446,32,F,Em observação
49,moderado,4082.4,689.71,0.1689,12,True,2931.13,14176.44,1181.37,1151.27,0.2894,44,F,Saudável
50,estavel,3752.28,309.97,0.0826,12,True,2650.71,20558.04,1713.17,1101.57,0.4566,21,M,Em observação
51,estavel,2823.19,187.2,0.0663,12,True,2852.25,19342.8,1611.9,-29.06,0.5709,52,M,Em risco
52,estavel,4937.37,311.84,0.0632,12,True,4385.15,19567.56,1630.63,552.22,0.3303,22,M,Saudável
53,alto,4708.99,2264.95,0.481,12,True,2128.22,10746.12,895.51,2580.77,0.1902,50,F,Em observação
54,moderado,3825.19,906.55,0.237,12,True,2292.93,12362.76,1030.23,1532.26,0.2693,50,M,Saudável
55,moderado,2663.14,627.97,0.2358,12,True,2903.42,16524.12,1377.01,-240.28,0.5171,27,F,Em risco
56,alto,4028.8,1895.52,0.4705,12,True,3595.09,9340.44,778.37,433.71,0.1932,51,F,Em observação
57,moderado,3682.5,923.6,0.2508,12,True,2514.43,5691.48,474.29,1168.07,0.1288,40,M,Saudável
58,moderado,2085.35,238.99,0.1146,12,True,1646.02,5666.76,472.23,439.33,0.2265,53,F,Saudável
59,estavel,1959.49,121.05,0.0618,12,True,1611.45,5323.32,443.61,348.04,0.2264,29,M,Saudável
60,estavel,4900.42,98.01,0.02,12,True,4667.32,18114.36,1509.53,233.1,0.308,46,M,Saudável
61,moderado,1178.39,261.37,0.2218,12,True,678.18,4192.8,349.4,500.21,0.2965,26,F,Saudável
62,moderado,4168.0,915.99,0.2198,12,True,2786.85,13198.32,1099.86,1381.15,0.2639,32,M,Saudável
63,moderado,3064.44,834.38,0.2723,12,True,2663.4,14365.08,1197.09,401.04,0.3906,41,M,Saudável
64,alto,6846.33,3487.4,0.5094,12,True,5490.96,15573.72,1297.81,1355.37,0.1896,54,F,Em observação
65,moderado,3043.29,700.38,0.2301,12,True,2808.76,11822.16,985.18,234.53,0.3237,19,F,Saudável
66,moderado,5112.91,996.93,0.195,12,True,3061.04,18663.36,1555.28,2051.87,0.3042,44,M,Saudável
67,moderado,3178.44,776.36,0.2443,12,True,2810.64,17175.6,1431.3,367.8,0.4503,60,F,Em observação
68,estavel,3999.57,214.39,0.0536,12,True,4065.5,15187.8,1265.65,-65.93,0.3164,21,F,Em risco
69,estavel,5294.02,423.15,0.0799,12,True,4805.0,25615.44,2134.62,489.02,0.4032,31,F,Em observação
70,moderado,3085.92,831.06,0.2693,12,True,2607.73,23464.2,1955.35,478.19,0.6336,42,F,Em observação
71,estavel,5950.35,310.08,0.0521,12,True,4776.59,23922.72,1993.56,1173.76,0.335,20,M,Saudável
72,moderado,2429.87,632.46,0.2603,12,True,1627.35,6171.36,514.28,802.52,0.2116,44,F,Saudável
73,alto,4338.67,2099.35,0.4839,12,True,3501.48,16552.32,1379.36,837.19,0.3179,56,F,Em observação
74,estavel,5755.69,185.68,0.0323,12,True,6024.75,31364.4,2613.7,-269.06,0.4541,52,F,Em risco
75,estavel,5114.18,658.17,0.1287,12,True,4084.06,19472.4,1622.7,1030.12,0.3173,21,F,Saudável
76,estavel,9001.59,1034.54,0.1149,12,True,5939.57,29600.16,2466.68,3062.02,0.274,39,F,Saudável
77,estavel,2695.15,229.35,0.0851,12,True,1971.22,4813.32,401.11,723.93,0.1488,32,F,Saudável
78,moderado,2042.93,371.58,0.1819,12,True,1749.06,5784.6,482.05,293.87,0.236,46,M,Saudável
79,moderado,2429.17,430.06,0.177,12,True,1828.6,8724.6,727.05,600.57,0.2993,59,F,Saudável
80,alto,5115.12,2164.29,0.4231,12,True,4641.23,22011.12,1834.26,473.89,0.3586,47,M,Em observação
